run	success	app_xt	app_R2	car_xt	car_R2	pick	deliv
f5_base_d_r3	0.9004	0.2411	0.8339	0.0697	0.9805	0.7949	0.7273
f5_xt_a_r1	0.8984	0.1070	0.9610	0.0509	0.9889	0.7832	0.9273
f5_xt_a_r2	0.8867	0.0949	0.9572	0.0516	0.9876	0.7520	0.8980
f5_xt_a_r3	0.9004	0.1065	0.9596	0.0563	0.9890	0.7812	0.8889
f5_xt_b_r1	0.9102	0.1037	0.9504	0.0508	0.9932	0.6172	0.7647
f5_xt_b_r2	0.9141	0.1011	0.9569	0.0534	0.9912	0.8066	0.8333
f5_xt_b_r3	0.9180	0.0918	0.9610	0.0466	0.9927	0.8906	0.9000
f5_xt_c_r1	0.9180	0.1467	0.9529	0.0551	0.9917	0.8594	-
f5_xt_c_r2	0.9141	0.1735	0.9403	0.0541	0.9910	0.7656	-
f5_xt_c_r3	0.9082	0.1710	0.9420	0.0640	0.9858	0.8105	-
f5_xt_d_r1	0.9121	0.1152	0.9462	0.0668	0.9876	0.7852	0.8000
f5_xt_d_r2	0.9141	0.1245	0.9438	0.0608	0.9897	0.7520	0.8333
f5_xt_d_r3	0.9180	0.1183	0.9478	0.0610	0.9858	0.7852	0.7143
f5_base_e	0.9219	0.1886	0.8783	0.0525	0.9885	0.7012	0.8182
f5_base_f	0.9150	0.1559	0.9052	0.0504	0.9880	0.7188	-
f5_base_g	0.9072	0.1602	0.8730	0.0995	0.9606	0.7832	0.8235
f5_xt_e	0.8926	0.1093	0.9284	0.0611	0.9873	0.6309	0.6667
f5_base_e_r1	0.9072	0.1818	0.8945	0.0514	0.9915	0.7598	1.0000
f5_base_e_r2	0.9199	0.1710	0.8866	0.0526	0.9874	0.7559	0.8125
f5_base_e_r3	0.9092	0.1801	0.8900	0.0503	0.9922	0.7656	0.8125
f5_base_f_r1	0.9336	0.1735	0.8827	0.0481	0.9895	0.6992	0.6000
f5_base_f_r2	0.9092	0.1655	0.8822	0.0551	0.9898	0.6914	0.7273
f5_base_h	0.9043	0.2244	0.8797	0.0466	0.9921	0.9043	-
f5_base_f_r3	0.9277	0.1784	0.8752	0.0482	0.9886	0.6699	0.8667
f5_base_g_r1	0.9131	0.1639	0.8713	0.0839	0.9730	0.7402	0.5862
f5_base_g_r2	0.9082	0.1663	0.8547	0.0889	0.9598	0.7793	0.8261
f5_xt_f	0.9102	0.1361	0.9351	0.0706	0.9860	0.6562	0.9286
f5_base_g_r3	0.8994	0.1748	0.8554	0.0952	0.9625	0.7988	0.5625
f5_base_h_r1	0.9141	0.2233	0.8888	0.0520	0.9896	0.8945	-
f5_base_h_r2	0.8975	0.2287	0.8840	0.0479	0.9915	0.9316	0.5000
f5_base_h_r3	0.8896	0.2260	0.8780	0.0471	0.9908	0.8164	-
f5_xt_e_r1	0.8887	0.1084	0.9495	0.0576	0.9890	0.7246	0.5714
f5_xt_g	0.8955	0.1272	0.9560	0.0439	0.9929	0.8535	0.7778
f5_xt_e_r2	0.8994	0.1092	0.9438	0.0598	0.9897	0.7402	0.6818
f5_xt_e_r3	0.8975	0.1279	0.9358	0.0500	0.9914	0.6738	0.8095
f5_xt_h	0.8896	0.1019	0.9582	0.0445	0.9925	0.8340	0.7692
f5_xt_f_r1	0.8955	0.1265	0.9316	0.0643	0.9851	0.7324	0.8125
f5_xt_f_r2	0.9121	0.1302	0.9457	0.0682	0.9865	0.6035	0.5385
f5_xt_f_r3	0.9092	0.1317	0.9426	0.0712	0.9866	0.6602	0.6667
f5_xt_g_r1	0.9014	0.1230	0.9506	0.0464	0.9939	0.8145	0.6667
f5_xt_g_r2	0.8984	0.1287	0.9494	0.0459	0.9931	0.8984	0.7273
f5_xt_g_r3	0.9092	0.1281	0.9512	0.0436	0.9945	0.8555	0.6364
f5_xt_h_r1	0.9053	0.0935	0.9620	0.0401	0.9937	0.8516	0.7895
f5_xt_h_r2	0.9219	0.1110	0.9596	0.0470	0.9942	0.8496	0.6818
f5_xt_h_r3	0.9043	0.1203	0.9588	0.0493	0.9915	0.8555	0.7727
f6_xt3_a	0.8457	0.1026	0.9665	0.0551	0.9904	0.6348	0.7895
f6_xt6_a	0.8545	0.0777	0.9867	0.0430	0.9939	0.8516	0.5625
f6_lat_a	0.7988	0.0977	0.9721	0.0462	0.9942	0.7070	0.6667
f6_xt3_b	0.8428	0.0921	0.9779	0.0525	0.9890	0.7988	0.7500
f6_xt6_b	0.8604	0.0710	0.9877	0.0625	0.9857	0.8672	0.7308
f6_aim_b	0.9072	0.2161	0.8455	0.1145	0.9794	0.7285	0.9048
f6_aim_a	0.8887	0.1799	0.8832	0.1896	0.9272	0.5996	0.8824
f6_lat_b	0.7686	0.0659	0.9854	0.0484	0.9905	0.8223	-
f6_aim_a_r1	0.8604	0.1825	0.8788	0.3097	0.8461	0.6680	0.9091
f6_aim_a_r2	0.8682	0.1727	0.8707	0.2050	0.9317	0.5820	0.7333
f6_aim_a_r3	0.8779	0.1789	0.8635	0.2320	0.8565	0.6133	0.8571
f6_aim_b_r1	0.8809	0.2119	0.8539	0.0829	0.9891	0.7090	0.8000
f6_aim_b_r2	0.8867	0.1915	0.8551	0.0852	0.9863	0.6367	0.8519
f6_aim_b_r3	0.8916	0.1897	0.8697	0.0927	0.9819	0.6523	0.8889
f6_lat_a_r1	0.8145	0.0937	0.9748	0.0462	0.9935	0.7656	0.7931
f6_lat_a_r2	0.7842	0.0948	0.9707	0.0463	0.9956	0.7148	0.6667
f6_lat_a_r3	0.7910	0.1048	0.9716	0.0483	0.9942	0.7148	0.6875
f6_lat_b_r1	0.7822	0.0726	0.9827	0.0428	0.9891	0.8477	0.5385
f6_lat_b_r2	0.7607	0.0692	0.9825	0.0435	0.9928	0.7852	0.2500
f6_lat_b_r3	0.7822	0.0719	0.9850	0.0433	0.9936	0.8555	-
f6_xt3_a_r1	0.8643	0.1038	0.9736	0.0550	0.9901	0.7480	-
f6_xt3_a_r2	0.8564	0.1124	0.9719	0.0553	0.9925	0.6875	0.7647
f6_xt3_a_r3	0.8594	0.0866	0.9747	0.0599	0.9896	0.8691	0.6667
f6_xt3_b_r1	0.8594	0.0905	0.9817	0.0450	0.9919	0.8066	0.5556
f6_xt3_b_r2	0.8652	0.0986	0.9763	0.0478	0.9928	0.7344	0.5000
f6_xt3_b_r3	0.8594	0.0900	0.9822	0.0473	0.9931	0.8262	0.7857
f6_xt6_a_r1	0.8438	0.0762	0.9861	0.0418	0.9935	0.8203	0.5000
f6_xt6_a_r2	0.8477	0.0723	0.9843	0.0457	0.9926	0.8066	0.7857
f6_xt6_a_r3	0.8447	0.0705	0.9878	0.0451	0.9936	0.8184	0.6667
f6_xt6_b_r1	0.8701	0.0687	0.9867	0.0611	0.9888	0.8594	0.7500
f6_xt6_b_r2	0.8711	0.0715	0.9817	0.0529	0.9887	0.8633	0.7879
f6_xt6_b_r3	0.8711	0.0667	0.9877	0.0603	0.9886	0.8320	0.8261
f8_base	0.7744	0.3138	0.8773	0.0681	0.9245	0.9277	0.6538
f8_ctrl	0.8359	0.2988	0.8195	0.0582	0.8953	0.9199	0.3478
f8_lat03	0.7402	0.2683	0.9091	0.0651	0.9607	0.8828	0.4375
f8_lat08	0.6553	0.2240	0.9471	0.0688	0.9706	0.9453	0.4286
f8_lat20	0.4658	0.1576	0.9574	0.0577	0.9852	0.7715	0.4000
f8_pen015	0.8125	0.2379	0.9255	0.0737	0.9552	0.9199	0.5000
f8_pen03	0.7881	0.2383	0.9225	0.0603	0.9710	0.9023	0.3182
f8_pen06	0.7764	0.1600	0.9572	0.0660	0.9698	0.9141	0.4118
f8_f_base	0.8213	0.2704	0.7958	0.0850	0.9751	0.7422	0.7838
f8_f_pen06	0.7646	0.1786	0.9434	0.0636	0.9732	0.8691	0.4800
f8_xt1	0.7627	0.2328	0.9184	0.0633	0.9589	0.9277	0.5217
f8_base_r1	0.7881	0.3142	0.8917	0.0909	0.8980	0.9805	0.5333
f8_base_r2	0.7881	0.3537	0.8771	0.0931	0.8876	0.9980	0.6000
f8_pen12	0.7217	0.1377	0.9752	0.0586	0.9771	0.9395	0.5667
f8_base_r3	0.7852	0.3230	0.8550	0.0683	0.9525	0.8906	0.6429
f8_ctrl_r1	0.8643	0.2801	0.8050	0.0680	0.8151	0.9453	0.3529
f8_ctrl_r2	0.8398	0.2788	0.8147	0.0639	0.8381	0.9238	0.5769
f9_nat_pen03	0.7910	0.2934	0.8621	0.0620	0.9406	0.9141	0.6667
f8_ctrl_r3	0.8604	0.2819	0.7813	0.0836	0.9312	0.8496	0.5714
f8_f_base_r1	0.8086	0.2562	0.7814	0.0834	0.9724	0.7344	0.6129
f9_nat_pen06	0.8105	0.1956	0.9463	0.0706	0.9512	0.9727	0.4762
f8_f_base_r2	0.7979	0.2609	0.8597	0.0718	0.8860	0.9336	0.5263
f8_f_base_r3	0.8281	0.2598	0.8069	0.0649	0.9529	0.7598	0.7826
f8_f_pen06_r1	0.7510	0.1564	0.9511	0.0608	0.9704	0.8711	0.3158
f8_f_pen06_r2	0.7588	0.1482	0.9573	0.0539	0.9735	0.9336	0.4000
f8_f_pen06_r3	0.7607	0.1623	0.9395	0.0652	0.9735	0.8516	0.4286
f9_nat_pen12	0.6895	0.1721	0.9376	0.0560	0.9861	0.8281	0.6383
f8_lat03_r1	0.7402	0.2833	0.8517	0.0801	0.9729	0.7969	0.6061
f8_lat03_r2	0.7412	0.2890	0.9073	0.0772	0.9351	0.9277	0.5714
f8_lat03_r3	0.7363	0.2824	0.9088	0.0716	0.9490	0.9238	0.4348
